exp#,inc#,size,sizeNext,surv,fec,well ID,ROI ID,,photo ID (where the data comes from),,TotalSA1,TotalSA2
e97,2,0.0327,0.0369,1,2,A6  (6 in pic),1,,,2 is sum of parts,0.5202,0.5282
e97,2,0.0644,0.064,1,2,D6,2,,,,,
e97,2,0.0438,0.0519,1,2,C6,3,,,,,
e97,2,0.0395,0.0404,1,2,B6,4,,,,,
e97,2,0.0273,0.0311,1,0,B5,5,,,,,
e97,2,0.0424,0.0412,1,2,D5,6,,,,,
e97,2,0.0427,0.0425,1,1,A5,7,,,,,
e97,2,0.0495,0.0577,1,2,C5,8,,,,,
e97,2,0.031,0.0419,1,1,C5,9,,,,,
e97,2,0.0214,0.0268,1,1,A4,10,,,,,
e97,2,0.0387,0.037,1,2,B4,11,,,,,
e97,2,0.0456,0.0486,1,2,C4,12,,,,,
e97,2,0.0492,0.0496,1,2,D4,13,,,,,
e97,2,NA,0.0334,1,NA,A6,14,,,,,
e97,2,NA,0.0244,1,NA,A6,15,,,,,
e97,2,NA,0.0311,1,NA,B6,16,,,,,
e97,2,NA,0.0046,1,NA,B6,17,,,,,
e97,2,NA,0.0319,1,NA,C6,18,,,,,
e97,2,NA,0.0083,1,NA,C6,19,,,,,
e97,2,NA,0.0285,1,NA,D6,20,,,,,
e97,2,NA,0.0459,1,NA,D6,21,,,,,
e97,2,NA,0.0053,1,NA,A5,22,,,,,
e97,2,NA,0.0159,1,NA,C5,23,,,,,
e97,2,NA,0.0316,1,NA,C5,24,,,,,
e97,2,NA,0.0118,1,NA,C5,25,,,,,
e97,2,NA,0.0352,1,NA,D5,26,,,,,
e97,2,NA,0.0093,1,NA,A4,27,,,,,
e97,2,NA,0.0023,1,NA,B4,28,,,,,
e97,2,NA,0.0087,1,NA,B4,29,,,,,
e97,2,NA,0.0028,1,NA,C4,30,,,,,
e97,2,NA,0.0416,1,NA 1,C4,31,,,,,
e97,2,NA,0.0067,1,NA,D4,32,,,,,
e97,2,NA,0.0263,1,NA,D4,33,,,,,
e97,3,0.0294,NA,0,0,A6,1,,,,,
e97,3,0.031,NA,0,0,B6,2,,,,,
e97,3,0.0249,NA,0,0,C6,3,,,,,
e97,3,0.0376,NA,0,0,D6,4,,,,,
e97,3,0.0222,NA,0,0,D5,5,,,,,
e97,3,0.0186,NA,0,0,A5,6,,,,,
e97,3,0.0334,NA,0,0,C5,7,,,,,
e97,3,0.029,NA,0,0,B5,8,,,,,
e97,3,0.0205,NA,0,0,C4,9,,,,,
e97,3,0.0392,NA,0,0,B4,10,,,,,
e97,3,0.0389,NA,0,0,D4,11,,,,,
,3,0.0352,NA,0,0,A4,12,,,,,
